row_label,column_label,times_missing,total_files,missing_fraction
LH_Vis_1,LH_Default_pCunPCC_2,0,159,0.0
LH_Vis_1,LH_Default_pCunPCC_3,0,159,0.0
LH_Vis_1,LH_Default_pCunPCC_4,0,159,0.0
LH_Vis_1,LH_Default_PHC_1,0,159,0.0
LH_Vis_1,RH_Vis_1,0,159,0.0
LH_Vis_1,RH_Vis_2,0,159,0.0
LH_Vis_1,RH_Vis_3,0,159,0.0
LH_Vis_1,RH_Vis_4,0,159,0.0
LH_Vis_1,RH_Vis_5,1,159,0.006289308176100629
LH_Vis_1,RH_Vis_6,1,159,0.006289308176100629
LH_Vis_1,RH_Vis_7,0,159,0.0
LH_Vis_1,RH_Vis_8,6,159,0.03773584905660377
LH_Vis_1,RH_Vis_9,0,159,0.0
LH_Vis_1,RH_Vis_10,0,159,0.0
LH_Vis_1,RH_Vis_11,1,159,0.006289308176100629
LH_Vis_1,RH_Vis_12,2,159,0.012578616352201259
LH_Vis_1,RH_Vis_13,0,159,0.0
LH_Vis_1,RH_Vis_14,21,159,0.1320754716981132
LH_Vis_1,RH_Vis_15,1,159,0.006289308176100629
LH_Vis_1,RH_SomMot_1,0,159,0.0
LH_Vis_1,RH_SomMot_2,1,159,0.006289308176100629
LH_Vis_1,RH_SomMot_3,0,159,0.0
LH_Vis_1,RH_SomMot_4,0,159,0.0
LH_Vis_1,RH_SomMot_5,1,159,0.006289308176100629
LH_Vis_1,RH_SomMot_6,0,159,0.0
LH_Vis_1,RH_SomMot_7,1,159,0.006289308176100629
LH_Vis_1,RH_SomMot_8,0,159,0.0
LH_Vis_1,RH_SomMot_9,1,159,0.006289308176100629
LH_Vis_1,RH_SomMot_10,1,159,0.006289308176100629
LH_Vis_1,RH_SomMot_11,0,159,0.0
LH_Vis_1,RH_SomMot_12,1,159,0.006289308176100629
LH_Vis_1,RH_SomMot_13,1,159,0.006289308176100629
LH_Vis_1,RH_SomMot_14,2,159,0.012578616352201259
LH_Vis_1,RH_SomMot_15,1,159,0.006289308176100629
