Node	Visual Network	Somatomotor Network	Dorsal Attention Network	Ventral Attention (or Salience) Network	Limbic Network	Frontoparietal (Control) Network	Default Mode Network
Visual Network	1.0	0.1338335558758041	0.29755838113622113	0.1747346271179642	-0.045368001972540595	-0.4949882117015554	-0.539944441994382
Somatomotor Network	0.1338335558758041	1.0	0.09930837778547967	0.4103035993088081	0.028666135725756568	-0.43739021003345535	-0.25312542756485207
Dorsal Attention Network	0.29755838113622113	0.09930837778547967	1.0	0.3528992606603497	-0.24926526822637726	-0.11792359363027506	-0.7239691809615173
Ventral Attention (or Salience) Network	0.1747346271179642	0.4103035993088081	0.3528992606603497	1.0	-0.18821512340859634	-0.30842916635873807	-0.5948903302585103
Limbic Network	-0.045368001972540595	0.028666135725756568	-0.24926526822637726	-0.18821512340859634	1.0	-0.3472315649488777	0.40656942940307295
Frontoparietal (Control) Network	-0.4949882117015554	-0.43739021003345535	-0.11792359363027506	-0.30842916635873807	-0.3472315649488777	1.0	0.21681022251946505
Default Mode Network	-0.539944441994382	-0.25312542756485207	-0.7239691809615173	-0.5948903302585103	0.40656942940307295	0.21681022251946505	1.0
