Node	Visual Network	Somatomotor Network	Dorsal Attention Network	Ventral Attention (or Salience) Network	Limbic Network	Frontoparietal (Control) Network	Default Mode Network
Visual Network	1.0	-0.005554584792611837	0.17146543471382775	-0.15488111124723256	-0.2786257895273271	-0.2857317132370365	-0.5014500246233325
Somatomotor Network	-0.005554584792611837	1.0	0.04856719959890832	-0.004858845722831117	-0.024633225849853207	-0.42761025169289596	-0.11451084878729076
Dorsal Attention Network	0.17146543471382775	0.04856719959890832	1.0	0.30834799059893614	-0.28255688085710234	0.3005246716125589	-0.5289120105451833
Ventral Attention (or Salience) Network	-0.15488111124723256	-0.004858845722831117	0.30834799059893614	1.0	-0.02929207480500068	0.4735222149086321	-0.3830865594854952
Limbic Network	-0.2786257895273271	-0.024633225849853207	-0.28255688085710234	-0.02929207480500068	1.0	0.14796323696598387	0.6136122157468326
Frontoparietal (Control) Network	-0.2857317132370365	-0.42761025169289596	0.3005246716125589	0.4735222149086321	0.14796323696598387	1.0	0.05753354661095385
Default Mode Network	-0.5014500246233325	-0.11451084878729076	-0.5289120105451833	-0.3830865594854952	0.6136122157468326	0.05753354661095385	1.0
