Node	Visual Network	Somatomotor Network	Dorsal Attention Network	Ventral Attention (or Salience) Network	Limbic Network	Frontoparietal (Control) Network	Default Mode Network
Visual Network	1.0	0.4242364041010272	0.26865390471385225	0.3031352792383148	-0.09289503328406608	-0.3531040545695882	-0.28205514321147046
Somatomotor Network	0.4242364041010272	1.0	0.28291900526018643	0.6346740863252189	-0.07697187664092023	-0.30916519102264367	-0.4975565485150135
Dorsal Attention Network	0.26865390471385225	0.28291900526018643	1.0	0.390663517388848	-0.3664130384524571	0.05339103891547189	-0.6591984508198446
Ventral Attention (or Salience) Network	0.3031352792383148	0.6346740863252189	0.390663517388848	1.0	-0.1444728188168004	-0.3379928799282322	-0.7184820722317121
Limbic Network	-0.09289503328406608	-0.07697187664092023	-0.3664130384524571	-0.1444728188168004	1.0	-0.2085538740107718	0.48135554900218613
Frontoparietal (Control) Network	-0.3531040545695882	-0.30916519102264367	0.05339103891547189	-0.3379928799282322	-0.2085538740107718	1.0	0.035417052502433974
Default Mode Network	-0.28205514321147046	-0.4975565485150135	-0.6591984508198446	-0.7184820722317121	0.48135554900218613	0.035417052502433974	1.0
