Node	Visual Network	Somatomotor Network	Dorsal Attention Network	Ventral Attention (or Salience) Network	Limbic Network	Frontoparietal (Control) Network	Default Mode Network
Visual Network	1.0	-0.2735002765730083	-0.1613458199377133	-0.15274320323662352	-0.4217841380675566	-0.39621849206420856	-0.4071805595524143
Somatomotor Network	-0.2735002765730083	1.0	0.29241159154181706	0.7003046647252102	0.44149632688055435	-0.5483919526909219	-0.36888474084186673
Dorsal Attention Network	-0.1613458199377133	0.29241159154181706	1.0	0.09283239116007376	0.2955066778998756	-0.21857991566881163	-0.19699617605925326
Ventral Attention (or Salience) Network	-0.15274320323662352	0.7003046647252102	0.09283239116007376	1.0	0.11968762171722737	-0.3970680691337109	-0.5275526871390992
Limbic Network	-0.4217841380675566	0.44149632688055435	0.2955066778998756	0.11968762171722737	1.0	-0.205686701904336	0.19559530297193833
Frontoparietal (Control) Network	-0.39621849206420856	-0.5483919526909219	-0.21857991566881163	-0.3970680691337109	-0.205686701904336	1.0	0.38950556433076194
Default Mode Network	-0.4071805595524143	-0.36888474084186673	-0.19699617605925326	-0.5275526871390992	0.19559530297193833	0.38950556433076194	1.0
