Node	Visual Network	Somatomotor Network	Dorsal Attention Network	Ventral Attention (or Salience) Network	Limbic Network	Frontoparietal (Control) Network	Default Mode Network
Visual Network	1.0	-0.053290948458010766	0.19811199763070894	-0.031845252179173784	-0.3913209245281607	-0.2672332656462166	-0.35456348779486596
Somatomotor Network	-0.053290948458010766	1.0	-0.1052373868398105	0.4436904196476142	0.1621154375997602	-0.36264410714964007	-0.12171484666731876
Dorsal Attention Network	0.19811199763070894	-0.1052373868398105	1.0	-0.02074252449223522	-0.2633316043505662	0.4520071316705935	-0.6342351611861928
Ventral Attention (or Salience) Network	-0.031845252179173784	0.4436904196476142	-0.02074252449223522	1.0	-0.35027359837447186	-0.09265503544551731	-0.29674890846629043
Limbic Network	-0.3913209245281607	0.1621154375997602	-0.2633316043505662	-0.35027359837447186	1.0	-0.23576100344797124	0.42848712858527244
Frontoparietal (Control) Network	-0.2672332656462166	-0.36264410714964007	0.4520071316705935	-0.09265503544551731	-0.23576100344797124	1.0	-0.14007903192425386
Default Mode Network	-0.35456348779486596	-0.12171484666731876	-0.6342351611861928	-0.29674890846629043	0.42848712858527244	-0.14007903192425386	1.0
