	Visual Network	Somatomotor Network	Dorsal Attention Network	Ventral Attention (or Salience) Network	Limbic Network	Frontoparietal (Control) Network	Default Mode Network
Visual Network	1.0	-0.5716283281799845	0.4336720458480688	0.0111740875701712	-0.3092271678062859	-0.3344789976903049	-0.3544761044161327
Somatomotor Network	-0.5716283281799845	1.0	-0.2962214432861003	0.0819975486056055	0.2016348165525564	-0.1747651946097136	-0.0740411639764495
Dorsal Attention Network	0.4336720458480688	-0.2962214432861003	1.0	0.1655388794479465	-0.2814858947615738	0.2460820235137694	-0.7888424333088946
Ventral Attention (or Salience) Network	0.0111740875701712	0.0819975486056055	0.1655388794479465	1.0	-0.4084491721192149	-0.2142422032892764	-0.3113741853374013
Limbic Network	-0.3092271678062859	0.2016348165525564	-0.2814858947615738	-0.4084491721192149	1.0	-0.042797042889144	0.3773757355753149
Frontoparietal (Control) Network	-0.3344789976903049	-0.1747651946097136	0.2460820235137694	-0.2142422032892764	-0.042797042889144	1.0	-0.1753873904479032
Default Mode Network	-0.3544761044161327	-0.0740411639764495	-0.7888424333088946	-0.3113741853374013	0.3773757355753149	-0.1753873904479032	1.0
