Node	Visual Network	Somatomotor Network	Dorsal Attention Network	Ventral Attention (or Salience) Network	Limbic Network	Frontoparietal (Control) Network	Default Mode Network
Visual Network	1.0	0.539368421246023	0.17689715494210115	0.055885044461153326	-0.33063298237378796	-0.6002055841236955	-0.3383814870179557
Somatomotor Network	0.539368421246023	1.0	0.5119458563924997	0.33281425406354104	-0.13333962386819517	-0.5223764789193031	-0.4959345115488165
Dorsal Attention Network	0.17689715494210115	0.5119458563924997	1.0	0.4854765618671979	-0.3701737869000086	-0.03567233484408398	-0.7668109731970022
Ventral Attention (or Salience) Network	0.055885044461153326	0.33281425406354104	0.4854765618671979	1.0	-0.08518395096140545	0.10683932531387041	-0.6436921155505009
Limbic Network	-0.33063298237378796	-0.13333962386819517	-0.3701737869000086	-0.08518395096140545	1.0	-0.09255490689463236	0.43991323743429495
Frontoparietal (Control) Network	-0.6002055841236955	-0.5223764789193031	-0.03567233484408398	0.10683932531387041	-0.09255490689463236	1.0	0.08871243275713865
Default Mode Network	-0.3383814870179557	-0.4959345115488165	-0.7668109731970022	-0.6436921155505009	0.43991323743429495	0.08871243275713865	1.0
