	Visual Network	Somatomotor Network	Dorsal Attention Network	Ventral Attention (or Salience) Network	Limbic Network	Frontoparietal (Control) Network	Default Mode Network
Visual Network	1.0	0.3925917824817289	0.0116413385630555	0.1386388840415902	-0.1728917588908079	-0.588822676297332	-0.2604433347722632
Somatomotor Network	0.3925917824817289	1.0	0.3074517065977769	0.4041678575893087	-0.1360259755474782	-0.2688358502989347	-0.5639333323072697
Dorsal Attention Network	0.0116413385630555	0.3074517065977769	1.0	0.444875165248293	-0.1389644369187279	0.2620171901997196	-0.7436137572007262
Ventral Attention (or Salience) Network	0.1386388840415902	0.4041678575893087	0.444875165248293	1.0	-0.1263325308835129	0.0614471680048207	-0.7569163050795171
Limbic Network	-0.1728917588908079	-0.1360259755474782	-0.1389644369187279	-0.1263325308835129	1.0	-0.2316246381390674	0.2766398755261841
Frontoparietal (Control) Network	-0.588822676297332	-0.2688358502989347	0.2620171901997196	0.0614471680048207	-0.2316246381390674	1.0	-0.1151409562872798
Default Mode Network	-0.2604433347722632	-0.5639333323072697	-0.7436137572007262	-0.7569163050795171	0.2766398755261841	-0.1151409562872798	1.0
