	Visual Network	Somatomotor Network	Dorsal Attention Network	Ventral Attention (or Salience) Network	Limbic Network	Frontoparietal (Control) Network	Default Mode Network
Visual Network	1.0	0.2239540566167656	0.4740746872345982	0.1985554802859468	-0.3007151615734101	-0.6326006142578375	-0.5521754676345213
Somatomotor Network	0.2239540566167656	1.0	0.4385702142603264	0.7202349604728348	-0.1826398149807391	-0.3107954960716066	-0.7314381466864639
Dorsal Attention Network	0.4740746872345982	0.4385702142603264	1.0	0.2598237115491738	-0.2253791963262423	-0.1089841241449806	-0.7324384664285877
Ventral Attention (or Salience) Network	0.1985554802859468	0.7202349604728348	0.2598237115491738	1.0	-0.4866095344259237	-0.2213080014375634	-0.7210852326214727
Limbic Network	-0.3007151615734101	-0.1826398149807391	-0.2253791963262423	-0.4866095344259237	1.0	-0.1576619853180175	0.5710858536170048
Frontoparietal (Control) Network	-0.6326006142578375	-0.3107954960716066	-0.1089841241449806	-0.2213080014375634	-0.1576619853180175	1.0	0.2794617110345768
Default Mode Network	-0.5521754676345213	-0.7314381466864639	-0.7324384664285877	-0.7210852326214727	0.5710858536170048	0.2794617110345768	1.0
