	Visual Network	Somatomotor Network	Dorsal Attention Network	Ventral Attention (or Salience) Network	Limbic Network	Frontoparietal (Control) Network	Default Mode Network
Visual Network	1.0	0.1966761669503063	0.2888089117485346	0.0323407494081376	-0.3751823291806075	-0.4649623151012783	-0.5326340814352869
Somatomotor Network	0.1966761669503063	1.0	0.1359092925016729	0.1396417754973976	0.105742530570736	-0.6280889949797663	-0.3291199851151817
Dorsal Attention Network	0.2888089117485346	0.1359092925016729	1.0	0.3565808093421977	-0.2940815084661234	0.012407280339733	-0.6137046838385264
Ventral Attention (or Salience) Network	0.0323407494081376	0.1396417754973976	0.3565808093421977	1.0	-0.2780888272623554	-0.0853608179475385	-0.6120687323923125
Limbic Network	-0.3751823291806075	0.105742530570736	-0.2940815084661234	-0.2780888272623554	1.0	0.0018818730170433	0.5040380981649324
Frontoparietal (Control) Network	-0.4649623151012783	-0.6280889949797663	0.012407280339733	-0.0853608179475385	0.0018818730170433	1.0	0.1704213097169727
Default Mode Network	-0.5326340814352869	-0.3291199851151817	-0.6137046838385264	-0.6120687323923125	0.5040380981649324	0.1704213097169727	1.0
