	Visual Network	Somatomotor Network	Dorsal Attention Network	Ventral Attention (or Salience) Network	Limbic Network	Frontoparietal (Control) Network	Default Mode Network
Visual Network	1.0	-0.0662195227446992	0.3572995025259766	-0.1178250220459328	-0.3651276379667189	-0.3952736786074011	-0.490145377611849
Somatomotor Network	-0.0662195227446992	1.0	0.2627094779896037	0.4865680459744101	-0.0064761632086722	-0.3323889735719564	-0.5520954155389208
Dorsal Attention Network	0.3572995025259766	0.2627094779896037	1.0	0.4290858193751581	-0.3122911575615645	-0.2459817152233812	-0.693522837460273
Ventral Attention (or Salience) Network	-0.1178250220459328	0.4865680459744101	0.4290858193751581	1.0	-0.3225928696153718	-0.1363889345051243	-0.645639722953448
Limbic Network	-0.3651276379667189	-0.0064761632086722	-0.3122911575615645	-0.3225928696153718	1.0	-0.2131753481084544	0.5830213871224624
Frontoparietal (Control) Network	-0.3952736786074011	-0.3323889735719564	-0.2459817152233812	-0.1363889345051243	-0.2131753481084544	1.0	0.2316437967423582
Default Mode Network	-0.490145377611849	-0.5520954155389208	-0.693522837460273	-0.645639722953448	0.5830213871224624	0.2316437967423582	1.0
