	Visual Network	Somatomotor Network	Dorsal Attention Network	Ventral Attention (or Salience) Network	Limbic Network	Frontoparietal (Control) Network	Default Mode Network
Visual Network	1.0	0.4266452490550258	-0.2159050875561606	0.1378968865883702	-0.5286213207631479	-0.5012347460953983	-0.1951705938099817
Somatomotor Network	0.4266452490550258	1.0	-0.293596034290909	0.5383140056896	-0.1919291057781014	-0.5038943207871404	-0.2016221491181756
Dorsal Attention Network	-0.2159050875561606	-0.293596034290909	1.0	0.0638152268625809	-0.0369246441742387	0.5997780586447995	-0.6173763090377021
Ventral Attention (or Salience) Network	0.1378968865883702	0.5383140056896	0.0638152268625809	1.0	-0.131961997369999	-0.2244990823525207	-0.502116500077265
Limbic Network	-0.5286213207631479	-0.1919291057781014	-0.0369246441742387	-0.131961997369999	1.0	0.0613345803337875	0.3917010576794837
Frontoparietal (Control) Network	-0.5012347460953983	-0.5038943207871404	0.5997780586447995	-0.2244990823525207	0.0613345803337875	1.0	-0.2948615178361349
Default Mode Network	-0.1951705938099817	-0.2016221491181756	-0.6173763090377021	-0.502116500077265	0.3917010576794837	-0.2948615178361349	1.0
