	Visual Network	Somatomotor Network	Dorsal Attention Network	Ventral Attention (or Salience) Network	Limbic Network	Frontoparietal (Control) Network	Default Mode Network
Visual Network	1.0	-0.1942513861919208	0.3069952536733077	-0.1725105956144523	-0.3973713281794496	-0.6938943705068963	-0.3633659758131041
Somatomotor Network	-0.1942513861919208	1.0	0.2644661332990756	0.7141655349758999	-0.2226618397476729	-0.1469660004984931	-0.5426321917226832
Dorsal Attention Network	0.3069952536733077	0.2644661332990756	1.0	0.3480876412749787	-0.394992529688561	-0.004274720950927	-0.8445602925344254
Ventral Attention (or Salience) Network	-0.1725105956144523	0.7141655349758999	0.3480876412749787	1.0	-0.4301128922317545	-0.1332898772677345	-0.5975758440092194
Limbic Network	-0.3973713281794496	-0.2226618397476729	-0.394992529688561	-0.4301128922317545	1.0	0.3629965234638915	0.5370118757960582
Frontoparietal (Control) Network	-0.6938943705068963	-0.1469660004984931	-0.004274720950927	-0.1332898772677345	0.3629965234638915	1.0	0.1740418208613446
Default Mode Network	-0.3633659758131041	-0.5426321917226832	-0.8445602925344254	-0.5975758440092194	0.5370118757960582	0.1740418208613446	1.0
