	Visual Network	Somatomotor Network	Dorsal Attention Network	Ventral Attention (or Salience) Network	Limbic Network	Frontoparietal (Control) Network	Default Mode Network
Visual Network	1.0	-0.1191074164350361	0.3177789853797703	-0.0879567282327275	-0.314513325694613	-0.2518364326856907	-0.3571057829976445
Somatomotor Network	-0.1191074164350361	1.0	0.0073174191225098	0.7703968257149633	-0.2868686709224021	-0.0438722450319083	-0.5669355365995308
Dorsal Attention Network	0.3177789853797703	0.0073174191225098	1.0	0.0491824787443024	-0.3414973514873512	0.2912139798884887	-0.5091919451941933
Ventral Attention (or Salience) Network	-0.0879567282327275	0.7703968257149633	0.0491824787443024	1.0	-0.355011761196137	0.130121375734082	-0.7001020797901863
Limbic Network	-0.314513325694613	-0.2868686709224021	-0.3414973514873512	-0.355011761196137	1.0	-0.3028671584962658	0.5843567472313234
Frontoparietal (Control) Network	-0.2518364326856907	-0.0438722450319083	0.2912139798884887	0.130121375734082	-0.3028671584962658	1.0	-0.2317716550418782
Default Mode Network	-0.3571057829976445	-0.5669355365995308	-0.5091919451941933	-0.7001020797901863	0.5843567472313234	-0.2317716550418782	1.0
