	Visual Network	Somatomotor Network	Dorsal Attention Network	Ventral Attention (or Salience) Network	Limbic Network	Frontoparietal (Control) Network	Default Mode Network
Visual Network	1.0	0.5756379849394575	0.0003454093508691	-0.1148039921453092	0.0672049443558431	-0.6276326992247704	-0.2579702319087213
Somatomotor Network	0.5756379849394575	1.0	-0.0241355461900265	0.2275868622807833	0.1688114148846517	-0.6328976429123676	-0.5201777024036546
Dorsal Attention Network	0.0003454093508691	-0.0241355461900265	1.0	0.6562879632958328	-0.3339939373598398	0.3578994982173389	-0.6516566472424421
Ventral Attention (or Salience) Network	-0.1148039921453092	0.2275868622807833	0.6562879632958328	1.0	-0.2269220327743497	0.283084897525993	-0.74973247635528
Limbic Network	0.0672049443558431	0.1688114148846517	-0.3339939373598398	-0.2269220327743497	1.0	-0.4110890496718391	0.2371318082786087
Frontoparietal (Control) Network	-0.6276326992247704	-0.6328976429123676	0.3578994982173389	0.283084897525993	-0.4110890496718391	1.0	-0.0185320356913755
Default Mode Network	-0.2579702319087213	-0.5201777024036546	-0.6516566472424421	-0.74973247635528	0.2371318082786087	-0.0185320356913755	1.0
