Node	Visual Network	Somatomotor Network	Dorsal Attention Network	Ventral Attention (or Salience) Network	Limbic Network	Frontoparietal (Control) Network	Default Mode Network
Visual Network	1.0	-0.15436841847409605	0.5060558564385841	0.07329578692993721	-0.45657011239838863	-0.13804349697607987	-0.5736584611586907
Somatomotor Network	-0.15436841847409605	1.0	-0.15911778423869996	0.02403975358979931	-0.07139492346837893	-0.5165607355320406	-0.3221636369715845
Dorsal Attention Network	0.5060558564385841	-0.15911778423869996	1.0	0.39895339049526823	-0.22481847361409607	-0.026737601155307926	-0.6651642885456093
Ventral Attention (or Salience) Network	0.07329578692993721	0.02403975358979931	0.39895339049526823	1.0	-0.16264009296321727	0.008005246463611362	-0.5220081056373098
Limbic Network	-0.45657011239838863	-0.07139492346837893	-0.22481847361409607	-0.16264009296321727	1.0	0.05730199304681588	0.6076249335678546
Frontoparietal (Control) Network	-0.13804349697607987	-0.5165607355320406	-0.026737601155307926	0.008005246463611362	0.05730199304681588	1.0	0.284436061234547
Default Mode Network	-0.5736584611586907	-0.3221636369715845	-0.6651642885456093	-0.5220081056373098	0.6076249335678546	0.284436061234547	1.0
