	Visual Network	Somatomotor Network	Dorsal Attention Network	Ventral Attention (or Salience) Network	Limbic Network	Frontoparietal (Control) Network	Default Mode Network
Visual Network	1.0	-0.2396366936411808	0.4412402761784525	0.1015187856523392	-0.1384143978243495	-0.6330055348131712	-0.546580565610734
Somatomotor Network	-0.2396366936411808	1.0	0.3180622016806083	0.2709326864667741	0.2918372380105102	0.0326480985711436	-0.2973578185802337
Dorsal Attention Network	0.4412402761784525	0.3180622016806083	1.0	0.5135771924418873	-0.2753742675790835	-0.1342131143949877	-0.8348404242323032
Ventral Attention (or Salience) Network	0.1015187856523392	0.2709326864667741	0.5135771924418873	1.0	-0.0938894289784667	-0.0809273314242924	-0.4901409650283738
Limbic Network	-0.1384143978243495	0.2918372380105102	-0.2753742675790835	-0.0938894289784667	1.0	-0.3044086806298611	0.2472078397410607
Frontoparietal (Control) Network	-0.6330055348131712	0.0326480985711436	-0.1342131143949877	-0.0809273314242924	-0.3044086806298611	1.0	0.0840259012249738
Default Mode Network	-0.546580565610734	-0.2973578185802337	-0.8348404242323032	-0.4901409650283738	0.2472078397410607	0.0840259012249738	1.0
