Node	Visual Network	Somatomotor Network	Dorsal Attention Network	Ventral Attention (or Salience) Network	Limbic Network	Frontoparietal (Control) Network	Default Mode Network
Visual Network	1.0	0.0018360637814691706	-0.2317851138980786	0.08812387846956699	0.023920750461497622	-0.4088203377868785	-0.25880250911796043
Somatomotor Network	0.0018360637814691706	1.0	0.22176213364626696	0.40570824006386463	0.22139364633305164	-0.6075841821326362	-0.3385397156954375
Dorsal Attention Network	-0.2317851138980786	0.22176213364626696	1.0	0.5564810950527822	-0.13033448703702535	0.18952609640380713	-0.578875889027392
Ventral Attention (or Salience) Network	0.08812387846956699	0.40570824006386463	0.5564810950527822	1.0	0.06500596690510146	-0.28184272741281796	-0.5949553679157886
Limbic Network	0.023920750461497622	0.22139364633305164	-0.13033448703702535	0.06500596690510146	1.0	-0.3426655472015932	0.25119084587635887
Frontoparietal (Control) Network	-0.4088203377868785	-0.6075841821326362	0.18952609640380713	-0.28184272741281796	-0.3426655472015932	1.0	0.10996682000124455
Default Mode Network	-0.25880250911796043	-0.3385397156954375	-0.578875889027392	-0.5949553679157886	0.25119084587635887	0.10996682000124455	1.0
