Node	Visual Network	Somatomotor Network	Dorsal Attention Network	Ventral Attention (or Salience) Network	Limbic Network	Frontoparietal (Control) Network	Default Mode Network
Visual Network	1.0	-0.4192507988191489	0.3078955760053434	-0.3671517057384798	-0.23073462202162168	-0.1813915829506614	-0.5070031494753898
Somatomotor Network	-0.4192507988191489	1.0	0.053234021918272395	0.6244888374204443	-0.006716486716119295	-0.23015051393413372	-0.20443635038951072
Dorsal Attention Network	0.3078955760053434	0.053234021918272395	1.0	-0.08418697729124323	-0.5240243447902819	0.2757181734957112	-0.7565065000524674
Ventral Attention (or Salience) Network	-0.3671517057384798	0.6244888374204443	-0.08418697729124323	1.0	-0.2631466464776124	-0.22718775845580122	-0.021636313596923105
Limbic Network	-0.23073462202162168	-0.006716486716119295	-0.5240243447902819	-0.2631466464776124	1.0	-0.19767612504302176	0.561169574564468
Frontoparietal (Control) Network	-0.1813915829506614	-0.23015051393413372	0.2757181734957112	-0.22718775845580122	-0.19767612504302176	1.0	-0.12738756610855226
Default Mode Network	-0.5070031494753898	-0.20443635038951072	-0.7565065000524674	-0.021636313596923105	0.561169574564468	-0.12738756610855226	1.0
