Node	Visual Network	Somatomotor Network	Dorsal Attention Network	Ventral Attention (or Salience) Network	Limbic Network	Frontoparietal (Control) Network	Default Mode Network
Visual Network	1.0	-0.3737389818896174	0.5159881103123094	0.4126598202785248	-0.46784946226053653	-0.4296568926482382	-0.5992801910265437
Somatomotor Network	-0.3737389818896174	1.0	-0.11018973479420781	0.07731052209615047	0.37374865803815327	-0.23520327038997388	0.08470205829067702
Dorsal Attention Network	0.5159881103123094	-0.11018973479420781	1.0	0.5415961601033107	-0.5437615545204524	-0.05799990980310762	-0.8417586117581036
Ventral Attention (or Salience) Network	0.4126598202785248	0.07731052209615047	0.5415961601033107	1.0	-0.25771759405139333	-0.06548978135346419	-0.5649715057658542
Limbic Network	-0.46784946226053653	0.37374865803815327	-0.5437615545204524	-0.25771759405139333	1.0	0.09746718364723872	0.6465328929283574
Frontoparietal (Control) Network	-0.4296568926482382	-0.23520327038997388	-0.05799990980310762	-0.06548978135346419	0.09746718364723872	1.0	0.12008381885039152
Default Mode Network	-0.5992801910265437	0.08470205829067702	-0.8417586117581036	-0.5649715057658542	0.6465328929283574	0.12008381885039152	1.0
