feature,PC1_loading
Right Cerebral White Matter,0.15491341593276917
Left Cerebellum White Matter,0.15297959860064914
Left MFC medial frontal cortex,0.13655938038091137
Left MPrG precentral gyrus medial segment,0.13339728285908117
Left SPL superior parietal lobule,0.13154487773379836
Right MSFG superior frontal gyrus medial segment,0.13092928612181554
Right MFG middle frontal gyrus,0.13028240356620252
Right PCgG posterior cingulate gyrus,0.12321612669949741
Left PHG parahippocampal gyrus,0.12161439852240213
Left PCgG posterior cingulate gyrus,0.12137371539780085
