Subject_Code,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20,PC21,Cluster
CT003,-3.7110283908168147,-1.9985933522563668,-3.3152298998385534,-5.851667744630182,1.7253878105052862,-2.3157446918522857,-8.909118817636246,-3.845466805151474,3.482672120464692,-1.908561329210088,4.951321023738287,-1.0247254269855428,3.4658929275795316,-5.414454233260339,2.5827210154739273,-1.6673658781613425,0.45773681484844186,1.6910920606144102,-3.9215695281037517,-2.6504694889735005,-1.4326701305808325,0
CT007,2.397374114125746,0.8457160487961503,0.409508605317714,2.03554552038496,2.496784212309405,6.002516068209016,-0.009677510642393387,4.743694955819406,1.609735675684713,-2.0958036762588748,-1.7515939787866892,-2.063593825760939,5.349195101001094,4.976786539360844,0.7614614987888041,7.124740035733927,1.2147178087102692,0.29798414022339476,-2.406119297964447,-2.500093988607102,-6.295583775073785,1
CT010,12.871547714765967,-4.727903536023953,0.3061770395171133,6.5250320911081845,-7.020664662531529,-4.134486561944432,-0.6663513939914072,-3.930629034265635,1.9555446318553489,0.3633914630624413,-0.19448794038410813,0.8955525007542411,-0.8692622191911935,0.43365455033124367,1.8909120634098269,1.2315043771723504,-0.34731507889269864,-0.5838756144262849,-2.739489072279566,-0.9304489884075865,-0.03461561465124894,1
CT012,6.365505022805691,-8.842921348407973,5.948560815638664,-0.6820681007848522,2.4929308646572252,-2.870025828023239,-2.886180443849598,6.188429041561632,-2.771775146855328,-1.0808474941963258,-4.133131188896229,8.121586813657709,-0.313548153201897,-3.931278032951873,-1.2279063394215923,4.988536047466279,4.835190987991118,1.9182386478850422,-2.136724103814805,1.3125696426671594,2.9808924385598177,1
CT018,8.63819460852691,4.2703947695302,-4.014713367557965,2.7331245551388457,5.431990943214238,6.477795020174012,2.179740600365883,-2.6181908337726436,-2.883744090150158,-3.6387990311932312,-5.571942335011071,-4.788488202792941,-7.921428706242856,-3.9658278038580446,1.1043729339286132,-1.5840143254786303,2.018728062556098,-1.1893962672189011,-2.6720918149782853,3.146275602740458,-0.16370494279892836,1
CT027,-2.705157040935361,-0.3732182033897797,8.473048649323985,-7.687411711042098,-6.468255409530162,-0.07847857514766969,6.681649961238144,-7.670148023753029,-0.5036592603217487,-2.3419680589738645,2.2218743616161216,-0.2923331054195463,0.9577302316642425,0.1890202896042846,0.8939912859255128,0.729145711384021,2.0941101642656275,1.1471134096569566,-1.3625514766953082,-0.8213365417262841,-0.740608598188277,0
CT032,-0.1564124795518373,4.311574306165766,14.863920929644422,7.7929247768609455,3.554277269806114,2.308900897050409,-5.193480608125968,-4.426434540040357,-3.218054403962127,0.7098687127168458,5.886115557664784,0.0695783281605962,-0.6191860551167611,1.6386868377827046,-1.6833417746382482,-2.107604871930951,-0.929661954648799,0.283239609919125,-1.175285049038142,0.6733159405138281,1.9210990345600927,1
CT039,-22.92665273408273,4.7357006077315065,5.394255799226609,-0.8956597504468178,-1.8030580813688386,-3.74963091286436,4.220699534083998,5.334714007977132,-3.520949374435727,2.6267003933693776,-3.863986611710734,-2.9038848977474596,2.2871752017661353,-4.507154390788579,0.15274436134350977,-2.353411761405059,-1.3500272952028334,1.6857814359857684,-3.5165432888672394,2.6989728417692027,-0.8773215917210428,0
CT041,-13.677342331186262,-11.739301946204334,-2.084058496669192,-3.6289423442677906,2.9825237700469542,4.046549122467919,-1.3229839265215557,-3.0028302116280985,-2.4794701835158968,2.232912447003532,-0.5529846874051885,5.276824587956971,-0.9051792560404995,0.28651869478748193,-5.425298566855662,-3.97814894806314,1.9528080772854384,-5.713615038411845,2.767051889102676,-0.732187743235384,-3.0695221260397245,0
CT046,13.331383141358257,1.9161437407606938,3.0154366946701416,-3.972141821802147,8.517209725683523,-0.06932601787745682,3.5408402343995102,2.4491964191204683,-4.720109062530716,3.978735902555991,1.6610092950400381,0.9933407690668574,-2.8738665948394617,1.2851890014608138,3.722286780063817,-2.317167357316347,-1.5190211213255642,2.99700069527085,0.18049767348754378,-6.5214674548171825,0.6590378424409616,1
