feature,PC1_loading
Right PoG postcentral gyrus_Vwm,0.0956088069648917
Left PO parietal operculum_Vwm,0.09555807435458825
Left PP planum polare_Vwm,0.09517055159288286
Left SCA subcallosal area_Vwm,0.0922935785761839
Left AOrG anterior orbital gyrus_Vwm,0.09203005667146003
Left SMC supplementary motor cortex_Vwm,0.09177117019075527
Right SPL superior parietal lobule_Vwm,0.08911594306150877
Right ITG inferior temporal gyrus_Vwm,0.08909587166596296
Right PrG precentral gyrus_Vwm,0.08901651789201748
Left MSFG superior frontal gyrus medial segment_Vwm,0.08842045860958252
